Datetime,CPU,Qu. Size,Qu. Delay (us),Batch Size
12:50:20,0,8.138020833336108e-05,1.9611978068871128e-184,8.138020833336108e-05
12:50:21,0,6.419766481292975e-35,1.547112277258431e-214,6.419766481292975e-35
12:50:22,0,0.00016276041666666666,2.4409127830332536e-244,0.00016276041666666666
12:50:23,0,1.2839532962581572e-34,1.9255406675891516e-274,1.2839532962581572e-34
12:50:24,0,0.00016276041666666666,3.037967508148499e-304,0.00016276041666666666
12:50:25,0,1.654361225362846e-24,1.4889251025954498e-23,1.654361225362846e-24
12:50:26,0,0.0003255208333333333,2.349109608479469e-53,0.0003255208333333333
12:50:27,0,9.5367431640625e-07,3.706241464416981e-83,9.5367431640625e-07
12:50:28,0,0.0006510416666666666,5.847417993175256e-113,0.0006510416666666666
12:50:29,0,1.0271626370065257e-33,9.225598902603729e-143,1.0271626370065257e-33
12:50:30,0,0.0013020833333333333,1.4555428603027902e-172,0.0013020833333333333
12:50:31,0,2.0543252740130515e-33,2.2964417167328796e-202,2.0543252740130515e-33
12:50:32,0,0.0026041666666668886,7.246292365796775e-232,0.0026041666666668886
12:50:33,0,2.0543252740132266e-33,5.716316755178551e-262,2.0543252740132266e-33
12:50:34,0,0.0026041666666666665,1.8037515240080755e-291,0.0026041666666666665
12:50:35,0,2.0543252740130515e-33,1.423e-321,2.0543252740130515e-33
12:50:36,0,0.005208333333333333,0.0,0.005208333333333333
12:50:37,0,8.217301096052206e-33,0.0,8.217301096052206e-33
12:50:38,0,0.010416666666666666,0.0,0.010416666666666666
12:50:39,0,1.6434602192104412e-32,0.0,1.6434602192104412e-32
12:50:40,0,0.0208333358168602,0.0,0.0208333358168602
12:50:41,0,1.6434604151261664e-32,0.0,1.6434604151261664e-32
12:50:42,0,0.04166666666666673,0.0,0.04166666666666673
12:50:43,0,1.314768175368355e-31,0.0,1.314768175368355e-31
12:50:44,0,0.08333333333333333,0.0,0.08333333333333333
12:50:45,0,4.967053731282552e-09,0.0,4.967053731282552e-09
12:50:46,0,0.16666666666666666,0.0,0.16666666666666666
12:50:47,0,4.4408920985006394e-17,0.0,4.4408920985006394e-17
12:50:48,0,0.16666666666666666,0.0,0.16666666666666666
12:50:49,0,2.629536350736706e-31,0.0,2.629536350736706e-31
12:50:50,0,0.3333333333333333,0.0,0.3333333333333333
12:50:51,0,2.629536350736706e-31,0.0,2.629536350736706e-31
12:50:52,0,4.1486768519074276e-61,0.0,4.1486768519074276e-61
12:50:53,0,5.259072701473412e-31,0.0,5.259072701473412e-31
12:50:54,0,8.297353703814855e-61,0.0,8.297353703814855e-61
12:50:55,0,4.2072581611787294e-30,0.0,4.2072581611787294e-30
12:50:56,0,3.318941481525942e-60,0.0,3.318941481525942e-60
12:50:57,0,4.2072581611787294e-30,1.0518145402946825e-29,4.2072581611787294e-30
12:50:58,0,3.318941481525942e-60,8.297353703814856e-60,3.318941481525942e-60
12:50:59,0,1.6829032644714918e-29,1.3090915907460605e-89,1.6829032644714918e-29
12:51:00,0,2.6551531852207536e-59,2.0653823545863032e-119,2.6551531852207536e-59
12:51:01,0,2.0194839173657902e-28,7.068193710780266e-28,2.0194839173657902e-28
12:51:02,0,5.551115123125783e-17,2.2303286755854332e-57,5.551115123125783e-17
12:51:03,0,6.731613057885967e-29,1.7594190979627052e-87,6.731613057885967e-29
12:51:04,0,1.0620612740883015e-58,2.7758738845639913e-117,1.0620612740883015e-58
12:51:05,0,2.692645223154387e-28,4.379556770713033e-147,2.692645223154387e-28
12:51:06,0,2.124122548176603e-58,3.4548611186114947e-177,2.124122548176603e-58
12:51:07,0,2.692645223154387e-28,1.4809548727349128e-27,2.692645223154387e-28
12:51:08,0,2.124122548176603e-58,1.1682674014971316e-57,2.124122548176603e-58
12:51:09,0,5.385290446308774e-28,1.843200959770453e-87,5.385290446308774e-28
12:51:10,0,1.5522042910257974e-10,2.9080583552575146e-117,1.5522042910257974e-10
12:51:11,0,1.0770580892619996e-27,4.5881070931279394e-147,1.0770580892619996e-27
12:51:12,0,2.168404344971009e-19,7.238756629471703e-177,2.168404344971009e-19
12:51:13,0,1.0770580892617547e-27,2.692645223154387e-27,1.0770580892617547e-27
12:51:14,0,1.6992980385412823e-57,4.248245096353206e-57,1.6992980385412823e-57
12:51:15,0,3.104408582051595e-10,6.70254894461983e-87,3.104408582051595e-10
12:51:16,0,2.448946564213099e-40,5.287378827740936e-117,2.448946564213099e-40
12:51:17,0,4.547473508864685e-13,1.4551915228366852e-11,4.547473508864685e-13
12:51:18,0,3.587324068671566e-43,1.1479437019748901e-41,3.587324068671566e-43
12:51:19,0,8.640199666842991e-13,3.622271631530685e-71,8.640199666842991e-13
12:51:20,0,1.0842021724855044e-19,5.714936956411375e-101,1.0842021724855044e-19
12:51:21,0,1.2732925824821168e-12,4.5082903407156913e-131,1.2732925824821168e-12
12:51:22,0,2.008901478456085e-42,7.112827998352248e-161,2.008901478456085e-42
12:51:23,0,1.2732925824829612e-12,1.1222063866923024e-190,1.2732925824829612e-12
12:51:24,0,2.0089014784574172e-42,1.770529492101781e-220,2.0089014784574172e-42
12:51:25,0,2.6214847286397544e-12,5.586805991439637e-250,2.6214847286397544e-12
12:51:26,0,2.067986816057815e-42,4.407212831701244e-280,2.067986816057815e-42
12:51:27,0,2.5465851649659914e-12,1.2732925824820995e-12,2.5465851649659914e-12
12:51:28,0,1.8189894035458565e-12,1.6370904631912708e-11,1.8189894035458565e-12
12:51:29,0,2.757268708510092e-25,5.165746658887006e-41,2.757268708510092e-25
12:51:30,0,2.1751014893328414e-55,4.0750555854720206e-71,2.1751014893328414e-55
12:51:31,0,2.75733181738251e-25,6.429304075962797e-101,2.75733181738251e-25
12:51:32,0,1.3877787807814457e-17,5.071826633305153e-131,1.3877787807814457e-17
12:51:33,0,5.514537417020184e-25,8.001931498146279e-161,5.514537417020184e-25
12:51:34,0,8.700405957331366e-55,1.2624821850288402e-190,8.700405957331366e-55
12:51:35,0,1.1029074834040368e-24,1.9918456786145035e-220,1.1029074834040368e-24
12:51:36,0,1.740081191466273e-54,3.1425783701847956e-250,1.740081191466273e-54
12:51:37,0,1.1029074834040368e-24,2.47905721783195e-280,1.1029074834040368e-24
12:51:38,0,1.740081191466273e-54,3.9112626419072e-310,1.740081191466273e-54
12:51:39,0,4.411629933616147e-24,0.0,4.411629933616147e-24
12:51:40,0,9.701276818911234e-12,0.0,9.701276818911234e-12
12:51:41,0,1.764651973446459e-23,0.0,1.764651973446459e-23
12:51:42,0,6.776263578034403e-21,0.0,6.776263578034403e-21
12:51:43,0,1.764651973446459e-23,0.0,1.764651973446459e-23
12:51:44,0,2.784129906346037e-53,0.0,2.784129906346037e-53
12:51:45,0,1.9402553637857762e-11,0.0,1.9402553637857762e-11
12:51:46,0,6.122366410543884e-41,0.0,6.122366410543884e-41
12:51:47,0,7.079287409099661e-23,0.0,7.079287409099661e-23
12:51:48,0,1.116914614772414e-52,0.0,1.116914614772414e-52
12:51:49,0,492.25102919796916,2669.5507726579312,63.99999999999978
12:51:50,0,489.46628908848504,2911.174832657871,64.0
12:51:51,0,533.6784244602967,2777.5269519611857,63.9745843349359
12:51:52,0,499.5425082008567,2840.8486117665743,63.99999999999998
12:51:53,0,507.72997534959313,3198.023870855013,64.0
12:51:54,0,6.756209989569681e-18,3.4351798015705414e-17,2.4022525648074995e-18
12:51:55,0,2.2587545260114674e-21,5.419758095727746e-47,2.2587545260114674e-21
12:51:56,0,1.7818431400614637e-51,4.275435277474697e-77,1.7818431400614637e-51
12:51:57,0,4.517509052022935e-21,6.745447486405074e-107,4.517509052022935e-21
12:51:58,0,7.127372560245855e-51,1.0642439620492611e-136,7.127372560245855e-51
12:51:59,0,8.763967560924495e-19,1.6790809105563525e-166,8.763967560924495e-19
12:52:00,0,1.382710276687696e-48,2.64912257408161e-196,1.382710276687696e-48
12:52:01,0,9.03501810404587e-21,2.0897892318314358e-226,9.03501810404587e-21
12:52:02,0,3.469446951953614e-18,6.594212100574677e-256,3.469446951953614e-18
12:52:03,0,3.614007241618348e-20,1.040383225375738e-285,3.614007241618348e-20
12:52:04,0,2.850949024098342e-50,8.2071765e-316,2.850949024098342e-50
12:52:05,0,7.228014483236696e-20,0.0,7.228014483236696e-20
12:52:06,0,5.701898048196684e-50,0.0,5.701898048196684e-50
12:52:07,0,7.228014483236696e-20,0.0,7.228014483236696e-20
12:52:08,0,1.1403796096393367e-49,0.0,1.1403796096393367e-49
12:52:09,0,5.421010862427522e-19,0.0,5.421010862427522e-19
12:52:18,0,5.205472310384114e-06,2.4514972586088908e-186,5.205472310384114e-06
12:52:19,0,1.1641532182693481e-10,3.867780693146077e-216,1.1641532182693481e-10
12:52:20,0,1.0172526041666666e-05,1.2204563915166267e-245,1.0172526041666666e-05
12:52:21,0,8.024708101613482e-36,9.627703337945757e-276,8.024708101613482e-36
12:52:22,0,0.28058305597739147,1.970543701109238e-07,0.28058305597739147
12:52:23,0,0.27444718553974723,5.021511645294222e-06,0.27444718553974723
12:52:24,0,0.2731493486863904,0.003683005873346833,0.2731493486863904
12:52:25,0,0.2767429947943245,0.0012392799352085536,0.2767429947943245
12:52:26,0,0.2793781018794555,1.0813798947264e-06,0.2793781018794555
12:52:27,0,0.29263649237355926,0.0008945719753998674,0.29263649237355926
12:52:28,0,0.29098861580651125,0.00011240950804584262,0.29098861580651125
